StudentID,attendance,marks,attempts,fees_due,did_dropout
2326-0001,37.454011884736246,39.363552027744205,23,45863.92307152566,1
2326-0002,95.07143064099162,47.34356593750214,4,68938.05088191658,0
2326-0003,73.1993941811405,85.45473932021804,18,27983.686829342354,1
2326-0004,59.86584841970366,34.00043860598922,5,95451.6472977134,1
2326-0005,15.601864044243651,86.96496848121713,16,75013.85036733498,1
2326-0006,15.599452033620265,8.813443097669149,14,15495.071671991984,1
2326-0007,5.8083612168199465,77.67984372086308,19,29647.1671679423,0
2326-0008,86.61761457749351,84.75476330547363,14,71944.79342992902,1
2326-0009,60.11150117432088,18.181765283733874,9,133138.34860782875,1
2326-0010,70.80725777960456,43.03465323722004,6,84958.60809466461,1
2326-0011,2.0584494295802447,16.54997746636556,17,102230.25003127063,1
2326-0012,96.99098521619943,70.66041289942177,19,50854.28246158646,1
2326-0013,83.24426408004217,53.534776806165674,12,85711.70895663514,1
2326-0014,21.233911067827616,63.5323346708321,4,67106.97339571011,1
2326-0015,18.182496720710063,19.648696695621116,16,98869.4868934741,1
2326-0016,18.34045098534338,21.17458620524195,11,7586.334911851555,1
2326-0017,30.42422429595377,4.149732550990636,22,73995.03243584387,1
2326-0018,52.475643163223786,32.20675351957297,4,44398.893771595045,1
2326-0019,43.194501864211574,55.97446613336749,17,48927.75919168639,1
2326-0020,29.122914019804192,85.79349139973289,8,144137.61473370923,1
2326-0021,61.18528947223795,66.69274474586807,14,27404.221906707415,1
2326-0022,13.949386065204184,43.53963233997514,2,46686.78788678954,1
2326-0023,29.214464853521815,95.31201143941378,11,76483.88635963076,1
2326-0024,36.63618432936917,71.92452005758318,11,129454.04222244355,1
2326-0025,45.606998421703594,93.016520286255,24,62500.512480955564,1
2326-0026,78.51759613930136,52.75879732721657,22,111579.79213322565,1
2326-0027,19.967378215835975,25.89042747931396,24,128456.11473222036,1
2326-0028,51.42344384136116,5.282668636472199,6,46502.45337327734,1
2326-0029,59.24145688620425,72.60848514838504,21,58912.52753080649,1
2326-0030,4.645041271999773,12.130299800553413,21,53483.43355325344,1
2326-0031,60.75448519014384,30.277512827196716,14,124928.37129268816,1
2326-0032,17.052412368729154,53.24709078838974,10,6652.029293040174,1
2326-0033,6.505159298527952,56.441658777974766,8,46263.163324302004,1
2326-0034,94.88855372533332,60.0583196987136,7,101911.28363926947,1
2326-0035,96.56320330745594,16.625533034970065,8,84816.5249348014,1
2326-0036,80.83973481164611,37.97374048216488,8,65443.40389405414,0
2326-0037,30.46137691733707,61.71942271169667,23,80992.23408320766,1
2326-0038,9.767211400638388,96.98188646337847,2,29637.687874247742,1
2326-0039,68.42330265121569,72.76311376996887,16,64607.493241201555,1
2326-0040,44.01524937396013,92.26037570939579,9,75255.44762645235,1
2326-0041,12.203823484477883,76.2212058314177,13,135178.36829319026,1
2326-0042,49.51769101112702,59.171696889240046,23,39125.27442059645,1
2326-0043,3.4388521115218396,19.202336913634454,12,130174.27532473988,1
2326-0044,90.9320402078782,66.66856518925131,22,96636.21012389728,1
2326-0045,25.87799816000169,62.337956595990704,17,3051.1246601401476,1
2326-0046,66.2522284353982,60.24691704572665,2,108694.70053490905,1
2326-0047,31.171107608941096,48.978586798824075,13,5332.781632358263,1
2326-0048,52.00680211778108,52.86566039892756,1,149607.16902207196,1
2326-0049,54.67102793432797,33.44425271181041,19,130895.50315367967,1
2326-0050,18.485445552552704,51.931269264230316,11,44601.56213100685,1
2326-0051,96.95846277645586,19.755590567847825,5,38611.684529505816,0
