StudentID,fees_due
STD-0001,10000
STD-0002,0
STD-0003,10000
STD-0004,20000
STD-0005,10000
STD-0006,0
STD-0007,0
STD-0008,0
STD-0009,20000
STD-0010,0
STD-0011,20000
STD-0012,0
STD-0013,30000
STD-0014,10000
STD-0015,0
STD-0016,10000
STD-0017,50000
STD-0018,0
STD-0019,0
STD-0020,10000
STD-0021,30000
STD-0022,30000
STD-0023,10000
STD-0024,50000
STD-0025,0
STD-0026,50000
STD-0027,50000
STD-0028,10000
STD-0029,0
STD-0030,10000
STD-0031,0
STD-0032,75000
STD-0033,20000
STD-0034,10000
STD-0035,0
STD-0036,75000
STD-0037,10000
STD-0038,20000
STD-0039,100000
STD-0040,0
STD-0041,0
STD-0042,0
STD-0043,0
STD-0044,75000
STD-0045,0
STD-0046,0
STD-0047,75000
STD-0048,0
STD-0049,20000
STD-0050,20000
STD-0051,20000
STD-0052,10000
STD-0053,30000
STD-0054,10000
STD-0055,10000
STD-0056,0
STD-0057,0
STD-0058,0
STD-0059,0
STD-0060,0
STD-0061,0
STD-0062,10000
STD-0063,0
STD-0064,0
STD-0065,0
STD-0066,0
STD-0067,0
STD-0068,0
STD-0069,0
STD-0070,0
STD-0071,30000
STD-0072,0
STD-0073,0
STD-0074,20000
STD-0075,0
STD-0076,0
STD-0077,0
STD-0078,0
STD-0079,0
STD-0080,10000
STD-0081,0
STD-0082,20000
STD-0083,0
STD-0084,20000
STD-0085,30000
STD-0086,50000
STD-0087,20000
STD-0088,0
STD-0089,10000
STD-0090,0
STD-0091,0
STD-0092,50000
STD-0093,0
STD-0094,0
STD-0095,10000
STD-0096,50000
STD-0097,0
STD-0098,20000
STD-0099,0
STD-0100,0
STD-0101,0
STD-0102,0
STD-0103,0
STD-0104,0
STD-0105,30000
STD-0106,50000
STD-0107,20000
STD-0108,0
STD-0109,10000
STD-0110,0
STD-0111,0
STD-0112,0
STD-0113,0
STD-0114,0
STD-0115,30000
STD-0116,10000
STD-0117,0
STD-0118,75000
STD-0119,20000
STD-0120,0
STD-0121,0
STD-0122,30000
STD-0123,50000
STD-0124,0
STD-0125,0
STD-0126,30000
STD-0127,10000
STD-0128,20000
STD-0129,0
STD-0130,0
STD-0131,0
STD-0132,10000
STD-0133,0
STD-0134,0
STD-0135,100000
STD-0136,30000
STD-0137,10000
STD-0138,50000
STD-0139,20000
STD-0140,0
STD-0141,0
STD-0142,75000
STD-0143,20000
STD-0144,0
STD-0145,50000
STD-0146,20000
STD-0147,0
STD-0148,10000
STD-0149,10000
STD-0150,0
STD-0151,0
STD-0152,50000
STD-0153,0
STD-0154,0
STD-0155,50000
STD-0156,75000
STD-0157,30000
STD-0158,0
STD-0159,0
STD-0160,0
STD-0161,50000
STD-0162,100000
STD-0163,0
STD-0164,50000
STD-0165,100000
STD-0166,20000
STD-0167,0
STD-0168,0
STD-0169,0
STD-0170,30000
STD-0171,30000
STD-0172,100000
STD-0173,0
STD-0174,10000
STD-0175,10000
STD-0176,10000
STD-0177,0
STD-0178,0
STD-0179,0
STD-0180,0
STD-0181,20000
STD-0182,0
STD-0183,10000
STD-0184,20000
STD-0185,10000
STD-0186,0
STD-0187,10000
STD-0188,0
STD-0189,30000
STD-0190,0
STD-0191,0
STD-0192,0
STD-0193,20000
STD-0194,0
STD-0195,20000
STD-0196,0
STD-0197,10000
STD-0198,10000
STD-0199,20000
STD-0200,0
STD-0201,20000
STD-0202,0
STD-0203,0
STD-0204,20000
STD-0205,10000
STD-0206,0
STD-0207,30000
STD-0208,30000
STD-0209,0
STD-0210,0
STD-0211,10000
STD-0212,100000
STD-0213,0
STD-0214,30000
STD-0215,30000
STD-0216,50000
STD-0217,75000
STD-0218,0
STD-0219,0
STD-0220,50000
STD-0221,10000
STD-0222,0
STD-0223,0
STD-0224,0
STD-0225,0
STD-0226,10000
STD-0227,0
STD-0228,0
STD-0229,0
STD-0230,10000
STD-0231,0
STD-0232,10000
STD-0233,0
STD-0234,75000
STD-0235,20000
STD-0236,10000
STD-0237,0
STD-0238,0
STD-0239,10000
STD-0240,0
STD-0241,75000
STD-0242,30000
STD-0243,10000
STD-0244,50000
STD-0245,30000
STD-0246,30000
STD-0247,0
STD-0248,0
STD-0249,0
STD-0250,50000
STD-0251,0
STD-0252,0
STD-0253,0
STD-0254,20000
STD-0255,0
STD-0256,75000
STD-0257,10000
STD-0258,10000
STD-0259,0
STD-0260,75000
STD-0261,10000
STD-0262,50000
STD-0263,50000
