StudentID,attendance
STD-0001,98.2
STD-0002,85.5
STD-0003,51.0
STD-0004,94.7
STD-0005,78.4
STD-0006,44.9
STD-0007,69.8
STD-0008,62.4
STD-0009,86.0
STD-0010,90.7
STD-0011,86.7
STD-0012,84.1
STD-0013,69.6
STD-0014,47.0
STD-0015,71.4
STD-0016,75.2
STD-0017,99.5
STD-0018,88.5
STD-0019,44.1
STD-0020,46.4
STD-0021,84.0
STD-0022,52.8
STD-0023,51.9
STD-0024,59.4
STD-0025,68.0
STD-0026,81.5
STD-0027,75.8
STD-0028,41.5
STD-0029,67.0
STD-0030,95.4
STD-0031,69.5
STD-0032,97.9
STD-0033,62.1
STD-0034,70.6
STD-0035,53.7
STD-0036,48.4
STD-0037,60.2
STD-0038,55.4
STD-0039,59.3
STD-0040,55.0
STD-0041,73.8
STD-0042,76.8
STD-0043,81.3
STD-0044,50.8
STD-0045,97.7
STD-0046,82.0
STD-0047,45.0
STD-0048,54.2
STD-0049,54.2
STD-0050,49.0
STD-0051,59.2
STD-0052,57.3
STD-0053,54.9
STD-0054,48.5
STD-0055,48.9
STD-0056,93.5
STD-0057,48.0
STD-0058,41.8
STD-0059,60.3
STD-0060,56.9
STD-0061,99.0
STD-0062,94.6
STD-0063,60.1
STD-0064,66.2
STD-0065,93.6
STD-0066,73.0
STD-0067,90.0
STD-0068,88.5
STD-0069,76.9
STD-0070,46.0
STD-0071,98.8
STD-0072,96.3
STD-0073,56.6
STD-0074,76.1
STD-0075,40.6
STD-0076,61.4
STD-0077,46.0
STD-0078,56.8
STD-0079,87.8
STD-0080,85.9
STD-0081,78.8
STD-0082,60.5
STD-0083,95.7
STD-0084,55.2
STD-0085,83.2
STD-0086,55.2
STD-0087,53.3
STD-0088,62.2
STD-0089,82.0
STD-0090,97.4
STD-0091,74.0
STD-0092,52.0
STD-0093,78.4
STD-0094,88.6
STD-0095,83.3
STD-0096,54.9
STD-0097,72.1
STD-0098,98.2
STD-0099,55.4
STD-0100,59.4
STD-0101,47.3
STD-0102,93.3
STD-0103,50.6
STD-0104,91.7
STD-0105,56.6
STD-0106,82.1
STD-0107,97.7
STD-0108,87.8
STD-0109,71.4
STD-0110,53.9
STD-0111,82.3
STD-0112,47.1
STD-0113,61.7
