StudentID,marks,attempts
STD-0001,67.89,1
STD-0002,79.85,3
STD-0003,41.11,2
STD-0004,51.0,2
STD-0005,88.81,2
STD-0006,48.23,1
STD-0007,55.88,1
STD-0008,70.4,2
STD-0009,78.93,1
STD-0010,45.57,2
STD-0011,98.1,1
STD-0012,65.67,3
STD-0013,78.78,2
STD-0014,96.14,1
STD-0015,73.69,2
STD-0016,59.0,3
STD-0017,40.47,1
STD-0018,57.04,3
STD-0019,95.91,3
STD-0020,74.75,3
STD-0021,50.42,2
STD-0022,73.36,2
STD-0023,62.51,2
STD-0024,86.26,1
STD-0025,79.61,3
STD-0026,49.93,3
STD-0027,66.41,3
STD-0028,46.03,3
STD-0029,55.06,3
STD-0030,97.62,3
STD-0031,63.08,2
STD-0032,57.7,2
STD-0033,91.5,1
STD-0034,43.57,2
STD-0035,55.27,2
STD-0036,69.66,3
STD-0037,80.4,1
STD-0038,88.94,3
STD-0039,76.78,1
STD-0040,97.21,1
STD-0041,58.86,2
STD-0042,44.37,2
STD-0043,74.53,2
STD-0044,94.59,3
STD-0045,73.45,2
STD-0046,71.53,3
STD-0047,66.36,3
STD-0048,99.07,1
STD-0049,80.0,1
STD-0050,60.32,1
STD-0051,83.61,3
STD-0052,97.87,2
STD-0053,82.31,2
STD-0054,53.61,3
STD-0055,90.8,2
STD-0056,77.41,3
STD-0057,40.46,2
STD-0058,84.34,1
STD-0059,98.01,3
STD-0060,64.11,2
STD-0061,44.22,1
STD-0062,61.22,3
STD-0063,95.55,2
STD-0064,92.63,2
STD-0065,74.25,2
STD-0066,50.24,3
STD-0067,68.9,1
STD-0068,77.85,2
STD-0069,46.16,1
STD-0070,75.86,2
STD-0071,49.26,1
STD-0072,85.45,2
STD-0073,64.22,1
STD-0074,96.75,2
STD-0075,68.67,3
STD-0076,76.35,1
STD-0077,43.28,1
STD-0078,83.27,3
STD-0079,76.29,2
STD-0080,70.23,3
STD-0081,78.07,2
STD-0082,70.04,2
STD-0083,82.04,2
STD-0084,73.98,3
STD-0085,82.05,2
STD-0086,44.11,1
STD-0087,74.17,2
STD-0088,45.36,2
STD-0089,96.52,1
STD-0090,55.36,2
STD-0091,43.72,3
STD-0092,70.54,1
STD-0093,59.37,1
STD-0094,47.42,3
STD-0095,48.51,1
STD-0096,69.52,2
STD-0097,40.06,1
STD-0098,84.55,1
STD-0099,92.62,2
STD-0100,49.74,2
STD-0101,57.74,3
STD-0102,85.79,2
STD-0103,68.07,3
STD-0104,44.01,1
STD-0105,76.4,1
STD-0106,97.07,2
STD-0107,40.16,3
STD-0108,50.61,3
STD-0109,80.41,2
STD-0110,61.06,3
STD-0111,70.89,3
STD-0112,81.35,1
STD-0113,74.56,2
STD-0114,58.92,2
STD-0115,60.97,2
STD-0116,78.95,2
STD-0117,48.46,1
STD-0118,42.69,1
