StudentID,attendance
STD-0001,90.7
STD-0002,94.0
STD-0003,53.2
STD-0004,85.8
STD-0005,61.5
STD-0006,40.9
STD-0007,82.4
STD-0008,49.8
STD-0009,98.6
STD-0010,97.1
STD-0011,76.2
STD-0012,50.8
STD-0013,46.1
STD-0014,67.7
STD-0015,89.5
STD-0016,53.7
STD-0017,46.6
STD-0018,81.6
STD-0019,44.6
STD-0020,69.4
STD-0021,66.4
STD-0022,59.8
STD-0023,70.5
STD-0024,97.7
STD-0025,80.2
STD-0026,78.1
STD-0027,49.8
STD-0028,79.0
STD-0029,80.3
STD-0030,76.9
STD-0031,71.8
STD-0032,64.1
STD-0033,62.1
STD-0034,60.4
STD-0035,63.7
STD-0036,68.6
STD-0037,57.4
STD-0038,92.6
STD-0039,77.5
STD-0040,65.0
STD-0041,46.5
STD-0042,69.1
STD-0043,99.6
STD-0044,89.6
STD-0045,41.7
STD-0046,98.0
STD-0047,48.7
STD-0048,87.1
STD-0049,80.0
STD-0050,43.7
STD-0051,83.5
STD-0052,83.4
STD-0053,77.2
STD-0054,41.1
STD-0055,61.1
STD-0056,77.5
STD-0057,84.0
STD-0058,43.9
STD-0059,85.2
STD-0060,87.7
STD-0061,56.8
STD-0062,81.9
STD-0063,84.0
STD-0064,61.4
STD-0065,62.4
STD-0066,92.8
STD-0067,80.5
STD-0068,46.0
STD-0069,82.8
STD-0070,49.0
STD-0071,90.4
STD-0072,62.7
STD-0073,48.7
STD-0074,42.4
STD-0075,88.8
STD-0076,52.8
STD-0077,88.9
STD-0078,81.9
STD-0079,90.1
STD-0080,87.7
STD-0081,74.0
STD-0082,95.0
STD-0083,48.9
STD-0084,86.2
STD-0085,73.2
STD-0086,82.3
STD-0087,72.4
STD-0088,79.9
STD-0089,97.1
STD-0090,85.8
STD-0091,87.4
STD-0092,81.1
STD-0093,92.8
STD-0094,63.4
STD-0095,46.1
STD-0096,54.4
STD-0097,59.0
STD-0098,70.4
STD-0099,85.9
STD-0100,56.7
STD-0101,60.6
STD-0102,94.7
STD-0103,56.5
STD-0104,65.9
STD-0105,86.1
STD-0106,43.9
STD-0107,66.7
STD-0108,85.7
STD-0109,45.1
STD-0110,76.9
STD-0111,47.2
STD-0112,72.6
STD-0113,45.6
STD-0114,51.7
STD-0115,47.7
STD-0116,56.9
STD-0117,62.3
STD-0118,93.9
STD-0119,66.5
STD-0120,41.7
STD-0121,59.4
STD-0122,68.1
STD-0123,68.5
STD-0124,93.3
STD-0125,68.2
STD-0126,43.7
STD-0127,98.3
STD-0128,53.8
STD-0129,97.6
STD-0130,95.5
STD-0131,86.2
STD-0132,70.0
STD-0133,97.8
STD-0134,75.2
STD-0135,64.8
STD-0136,80.6
STD-0137,72.2
STD-0138,46.9
STD-0139,90.2
STD-0140,47.0
STD-0141,50.6
STD-0142,95.6
STD-0143,59.1
STD-0144,82.3
STD-0145,63.4
STD-0146,85.1
STD-0147,54.9
STD-0148,74.2
STD-0149,55.1
STD-0150,91.8
STD-0151,81.1
STD-0152,58.7
STD-0153,81.5
STD-0154,73.4
STD-0155,60.0
STD-0156,54.4
STD-0157,65.1
STD-0158,99.7
STD-0159,45.0
STD-0160,44.6
STD-0161,71.4
STD-0162,47.3
STD-0163,50.7
STD-0164,40.9
STD-0165,91.1
STD-0166,44.0
STD-0167,68.4
STD-0168,43.0
STD-0169,81.2
STD-0170,42.8
STD-0171,60.2
STD-0172,83.6
STD-0173,67.4
STD-0174,95.6
STD-0175,90.6
STD-0176,45.2
STD-0177,99.2
STD-0178,58.3
STD-0179,88.5
STD-0180,69.5
STD-0181,51.1
STD-0182,75.9
STD-0183,57.8
STD-0184,94.4
STD-0185,90.7
STD-0186,91.0
STD-0187,82.7
STD-0188,81.7
STD-0189,64.3
STD-0190,78.8
STD-0191,44.2
STD-0192,87.8
STD-0193,51.8
STD-0194,64.9
STD-0195,72.0
STD-0196,60.2
STD-0197,61.3
STD-0198,76.6
STD-0199,98.2
STD-0200,65.5
STD-0201,77.5
STD-0202,62.1
STD-0203,76.8
STD-0204,42.4
STD-0205,52.8
STD-0206,72.2
STD-0207,49.3
STD-0208,50.0
STD-0209,89.5
STD-0210,79.9
STD-0211,79.3
STD-0212,58.0
STD-0213,80.4
STD-0214,89.5
STD-0215,96.2
STD-0216,60.8
STD-0217,40.4
STD-0218,85.1
STD-0219,89.1
STD-0220,47.8
STD-0221,40.6
STD-0222,87.8
STD-0223,67.9
STD-0224,93.2
STD-0225,72.9
STD-0226,89.7
STD-0227,41.1
STD-0228,87.1
STD-0229,85.7
STD-0230,79.7
STD-0231,85.7
STD-0232,89.3
STD-0233,54.7
STD-0234,64.7
STD-0235,48.1
STD-0236,93.9
STD-0237,50.2
STD-0238,68.3
STD-0239,90.0
STD-0240,77.5
STD-0241,66.6
STD-0242,42.6
STD-0243,43.2
STD-0244,49.0
STD-0245,62.3
STD-0246,82.2
STD-0247,53.3
STD-0248,83.9
STD-0249,47.5
STD-0250,50.3
STD-0251,46.5
STD-0252,81.4
STD-0253,73.4
STD-0254,75.6
STD-0255,62.8
STD-0256,87.9
STD-0257,95.7
STD-0258,51.2
STD-0259,78.7
STD-0260,74.3
STD-0261,84.3
STD-0262,42.4
STD-0263,53.4
STD-0264,71.4
STD-0265,63.4
STD-0266,58.3
STD-0267,84.5
STD-0268,77.0
STD-0269,62.7
STD-0270,47.2
STD-0271,78.0
STD-0272,96.7
STD-0273,84.6
STD-0274,48.2
STD-0275,76.9
STD-0276,44.4
STD-0277,43.8
STD-0278,45.3
STD-0279,47.3
STD-0280,58.8
STD-0281,42.1
STD-0282,65.3
STD-0283,76.7
STD-0284,45.8
STD-0285,58.3
STD-0286,58.2
STD-0287,68.5
STD-0288,63.3
STD-0289,98.5
STD-0290,94.7
STD-0291,85.1
STD-0292,95.7
STD-0293,52.5
STD-0294,48.7
STD-0295,64.4
STD-0296,73.4
STD-0297,98.4
STD-0298,54.2
STD-0299,83.6
STD-0300,78.1
STD-0301,58.1
STD-0302,88.2
STD-0303,41.3
STD-0304,71.6
STD-0305,87.9
STD-0306,85.8
