StudentID,fees_due
STD-0001,10000
STD-0002,0
STD-0003,10000
STD-0004,30000
STD-0005,20000
STD-0006,20000
STD-0007,0
STD-0008,0
STD-0009,0
STD-0010,10000
STD-0011,0
STD-0012,10000
STD-0013,20000
STD-0014,20000
STD-0015,30000
STD-0016,10000
STD-0017,10000
STD-0018,20000
STD-0019,30000
STD-0020,10000
STD-0021,10000
STD-0022,20000
STD-0023,20000
STD-0024,20000
STD-0025,0
STD-0026,10000
STD-0027,30000
STD-0028,0
STD-0029,0
STD-0030,20000
STD-0031,20000
STD-0032,20000
STD-0033,10000
STD-0034,10000
STD-0035,20000
STD-0036,20000
STD-0037,0
STD-0038,20000
STD-0039,0
STD-0040,0
STD-0041,0
STD-0042,10000
STD-0043,10000
STD-0044,0
STD-0045,10000
STD-0046,0
STD-0047,20000
STD-0048,20000
STD-0049,10000
STD-0050,10000
STD-0051,0
STD-0052,0
STD-0053,0
STD-0054,10000
STD-0055,0
STD-0056,30000
STD-0057,30000
STD-0058,10000
STD-0059,30000
STD-0060,0
STD-0061,30000
STD-0062,20000
STD-0063,10000
STD-0064,20000
STD-0065,20000
STD-0066,30000
STD-0067,30000
STD-0068,20000
STD-0069,10000
STD-0070,30000
STD-0071,0
STD-0072,30000
STD-0073,10000
STD-0074,20000
STD-0075,20000
STD-0076,10000
STD-0077,10000
STD-0078,30000
STD-0079,0
STD-0080,10000
STD-0081,0
STD-0082,10000
STD-0083,20000
STD-0084,0
STD-0085,0
STD-0086,0
STD-0087,10000
STD-0088,20000
STD-0089,0
STD-0090,0
STD-0091,10000
STD-0092,0
STD-0093,30000
STD-0094,30000
STD-0095,10000
STD-0096,30000
STD-0097,10000
STD-0098,10000
STD-0099,0
STD-0100,0
STD-0101,10000
STD-0102,30000
STD-0103,10000
STD-0104,10000
STD-0105,30000
STD-0106,30000
STD-0107,0
STD-0108,20000
STD-0109,10000
STD-0110,0
STD-0111,10000
STD-0112,10000
STD-0113,10000
STD-0114,30000
STD-0115,20000
STD-0116,20000
STD-0117,0
STD-0118,0
STD-0119,20000
STD-0120,20000
STD-0121,10000
STD-0122,0
STD-0123,20000
STD-0124,20000
STD-0125,10000
STD-0126,20000
STD-0127,0
STD-0128,10000
STD-0129,10000
STD-0130,0
STD-0131,0
STD-0132,20000
STD-0133,30000
STD-0134,0
STD-0135,30000
STD-0136,20000
STD-0137,10000
STD-0138,0
STD-0139,10000
STD-0140,30000
STD-0141,30000
STD-0142,30000
STD-0143,0
STD-0144,30000
STD-0145,10000
STD-0146,20000
STD-0147,30000
STD-0148,0
STD-0149,0
STD-0150,30000
STD-0151,0
STD-0152,0
STD-0153,30000
STD-0154,30000
STD-0155,0
STD-0156,20000
STD-0157,30000
STD-0158,30000
STD-0159,20000
STD-0160,30000
STD-0161,30000
STD-0162,10000
STD-0163,10000
STD-0164,10000
STD-0165,30000
STD-0166,20000
STD-0167,0
STD-0168,20000
STD-0169,0
STD-0170,30000
STD-0171,20000
STD-0172,30000
STD-0173,30000
STD-0174,0
STD-0175,10000
STD-0176,20000
STD-0177,0
STD-0178,30000
STD-0179,10000
STD-0180,0
STD-0181,0
STD-0182,30000
STD-0183,10000
STD-0184,10000
STD-0185,0
STD-0186,30000
STD-0187,0
STD-0188,20000
STD-0189,30000
STD-0190,0
STD-0191,20000
STD-0192,20000
STD-0193,10000
STD-0194,20000
STD-0195,30000
STD-0196,10000
STD-0197,20000
STD-0198,20000
STD-0199,10000
STD-0200,30000
STD-0201,20000
STD-0202,20000
STD-0203,10000
STD-0204,20000
STD-0205,20000
STD-0206,0
STD-0207,20000
STD-0208,10000
STD-0209,20000
STD-0210,10000
STD-0211,0
STD-0212,0
STD-0213,20000
STD-0214,0
STD-0215,10000
STD-0216,10000
STD-0217,30000
STD-0218,10000
STD-0219,20000
STD-0220,30000
STD-0221,20000
STD-0222,20000
STD-0223,10000
STD-0224,30000
STD-0225,30000
STD-0226,0
STD-0227,30000
STD-0228,20000
STD-0229,10000
STD-0230,10000
STD-0231,0
STD-0232,20000
STD-0233,10000
STD-0234,0
STD-0235,10000
STD-0236,10000
STD-0237,10000
STD-0238,0
STD-0239,20000
STD-0240,20000
STD-0241,20000
STD-0242,20000
STD-0243,10000
STD-0244,20000
STD-0245,30000
STD-0246,30000
STD-0247,0
STD-0248,10000
STD-0249,30000
STD-0250,20000
STD-0251,0
STD-0252,0
STD-0253,0
STD-0254,10000
STD-0255,20000
STD-0256,10000
