StudentID,attendance,marks,attempts,fees_due,did_dropout
STD-0001,68.07,63.18,1,0,0
STD-0002,82.51,76.74,3,0,0
STD-0003,83.95,75.24,1,75000,0
STD-0004,93.23,65.71,2,30000,0
STD-0005,82.91,58.69,1,50000,0
STD-0006,84.21,91.26,1,0,0
STD-0007,88.24,96.25,3,0,0
STD-0008,84.32,71.57,1,10000,0
STD-0009,100.0,70.66,1,0,0
STD-0010,79.08,75.84,1,10000,0
STD-0011,86.24,77.85,3,0,0
STD-0012,95.6,60.71,1,10000,0
STD-0013,76.99,59.04,1,0,0
STD-0014,77.64,92.37,1,0,0
STD-0015,58.52,71.43,2,30000,0
STD-0016,82.62,82.72,3,0,0
STD-0017,72.64,57.33,3,50000,0
STD-0018,82.62,80.08,1,0,0
STD-0019,73.9,96.82,2,10000,0
STD-0020,93.1,57.54,1,0,0
STD-0021,100.0,100.0,2,0,0
STD-0022,86.08,89.58,2,10000,0
STD-0023,89.44,78.63,1,10000,0
STD-0024,86.21,98.89,1,0,0
STD-0025,83.19,82.88,3,0,0
STD-0026,92.63,70.44,3,0,0
STD-0027,100.0,65.44,1,0,0
STD-0028,98.9,49.47,1,0,0
STD-0029,71.63,60.49,2,20000,0
STD-0030,90.57,72.78,1,20000,0
STD-0031,83.28,63.14,3,0,0
STD-0032,95.3,69.9,1,0,0
STD-0033,99.51,85.51,1,10000,0
STD-0034,92.76,85.42,1,0,0
STD-0035,86.76,48.42,1,0,0
STD-0036,79.86,87.3,1,75000,0
STD-0037,87.74,57.09,2,0,0
STD-0038,78.5,67.54,1,0,0
STD-0039,93.39,69.83,1,30000,0
STD-0040,87.79,80.06,1,20000,0
STD-0041,70.88,88.82,2,0,0
STD-0042,90.43,74.87,1,10000,0
STD-0043,86.72,58.28,1,0,0
STD-0044,74.18,76.65,1,0,0
STD-0045,81.85,60.65,3,0,0
STD-0046,97.98,76.08,1,0,0
STD-0047,81.84,84.12,1,20000,0
